Id,$$DeveloperName$NamespacePrefix$SobjectType
0121j000004AjpuAAC,Business;Account
0121j000004AjpvAAC,Partner;Account
0121j000004AjpwAAC,Channel;Case
0121j000004AjpxAAC,Chat;Case
0121j000004AjuVAAS,Business_Account;Account
0121j000004AjuWAAS,PersonAccount;Account
0121j000004AjysAAC,Claim;Case
0121j000004AjytAAC,Customer_Claim;Case
0121j000004AjyuAAC,Feedback;Case
0121j000004AjyvAAC,FunctionalProductSupport;Case
0121j000004AjywAAC,Information;Case
0121j000004AjyxAAC,Internal_Backoffice;Case
0121j000004AjyyAAC,Support;Case
0121j000004AjyzAAC,EmailContact;Contact
0121j000004Ajz0AAC,SSI;Knowledge__kav
0121j000004Ajz1AAC,CustomerClaim;LIA_Claim__c
0121j000004Ajz2AAC,LiabilityClaim;LIA_Claim__c
0121j000004Ajz3AAC,AnonymousCustomer;Account
0121j000004Ajz4AAC,EBCustomer;Account
0121j000004Ajz5AAC,Cheque;Settlement__c
0121j000004Ajz6AAC,EB_points;Settlement__c
0121j000004Ajz7AAC,Monetary;Settlement__c
0121j000004Ajz8AAC,Voucher;Settlement__c
